,name,price,href,img_url,additional_name
10,Mehki in lahki natikači | FLIPSY,18.99,https://vigoshop.si/izdelek/flipsy/,https://vigoshop.si/app/uploads/2023/08/FLIPSY-FEATURED-IMG-min-324x324.jpg,Mehki in lahki natikači | FLIPSY
11,2v1: Krtača za sušenje in volumen las | STYLOOM,21.99,https://vigoshop.si/izdelek/2v1-krtaca-za-susenje-in-volumen-las-styloom/,https://vigoshop.si/app/uploads/2021/12/STYLOOM_10.12.21_UROS_IMAGE_SQUARE_V1.jpg,2v1: Krtača za sušenje in volumen las | STYLOOM
12,Profesionalni mini električni brusilni aparat za nohte STYLER,18.99,https://vigoshop.si/izdelek/profesionalni-mini-elektricni-brusilni-aparat-za-nohte-styler/,https://vigoshop.si/app/uploads/2020/03/STYLER_GALLERY_IMG1-324x324.jpg,Profesionalni mini električni brusilni aparat za nohte STYLER
13,Ultimativni kodralnik s tremi valji MEGA STYLE,24.99,https://vigoshop.si/izdelek/ultimativni-kodralnik-s-tremi-valji-mega-style/,https://vigoshop.si/app/uploads/2023/10/header-1-slider-324x324.jpg,Ultimativni kodralnik s tremi valji MEGA STYLE
14,KOMPLET: VIGO nevidni 1+1 push-up nedrček,17.99,https://vigoshop.si/izdelek/komplet-vigo-nevidni-push-up-nedrcek-11/,https://vigoshop.si/app/uploads/2018/05/VIGO-nevidni-Push-Up-nedrček-48-324x324.jpg,KOMPLET: VIGO nevidni 1+1 push-up nedrček
15,Prenosni pametni foto tiskalnik MINIPRINT,23.99,https://vigoshop.si/izdelek/prenosni-pametni-foto-tiskalnik-z-2-zvitkoma-termo-papirja-miniprint/,https://vigoshop.si/app/uploads/2021/12/MINIPRINT_10.12.21_UROS_IMAGE_SQUARE_V1.jpg,Prenosni pametni foto tiskalnik MINIPRINT
16,Uniseks grelni brezrokavnik FLAMEVEST,24.99,https://vigoshop.si/izdelek/uniseks-grelni-brezrokavnik-flamevest/,https://vigoshop.si/app/uploads/2022/09/flamevest-new-01-1-324x324.jpg,Uniseks grelni brezrokavnik FLAMEVEST
17,Medicinske ščipalke za zadebeljene ali vraščene nohte NAIL PRO,19.99,https://vigoshop.si/izdelek/medicinske-scipalke-za-zadebeljene-ali-vrascene-nohte-nail-pro/,https://vigoshop.si/app/uploads/2020/02/Nail_Pro_Gallery1-1-324x324.jpg,Medicinske ščipalke za zadebeljene ali vraščene nohte NAIL PRO
18,Depilator s kristali SILKSKIN,17.99,https://vigoshop.si/izdelek/depilator-s-kristali-silkskin/,https://vigoshop.si/app/uploads/2023/04/SILKSKIN-6-324x324.jpg,Depilator s kristali SILKSKIN
19,Električni prirezovalnik s T rezilom GRITSY,17.99,https://vigoshop.si/izdelek/elektricni-prirezovalnik-s-t-rezilom-gritsy/,https://vigoshop.si/app/uploads/2021/12/GRITSY_IMAGE_WHITE_V1.jpg,Električni prirezovalnik s T rezilom GRITSY
20,Škarje za enostavno obrezovanje in cepljenje Master-Cut,19.99,https://vigoshop.si/izdelek/skarje-za-enostavno-obrezovanje-in-cepljenje-master-cut/,https://vigoshop.si/app/uploads/2021/02/Skarje-za-enostavno-obrezovanje-in-cepljenje-master-cut-2-324x324.jpg,Škarje za enostavno obrezovanje in cepljenje Master-Cut
21,LED luč s senzorjem gibanja LUMICOM,21.99,https://vigoshop.si/izdelek/led-luc-s-senzorjem-gibanja-lumicom/,https://vigoshop.si/app/uploads/2021/12/LUMICOM_IMAGE_WHITE_V1.jpg,LED luč s senzorjem gibanja LUMICOM
22,Kuhinjske nalepke proti oljnim madežem | ALUMAX,17.99,https://vigoshop.si/izdelek/kuhinjske-nalepke-proti-oljnim-madezem-alumax/,https://vigoshop.si/app/uploads/2020/03/ALUMAX_GALLERY_IMG2-324x324.jpg,Kuhinjske nalepke proti oljnim madežem | ALUMAX
23,Profesionalni samolepilni tesnilni trak FILLIN,13.99,https://vigoshop.si/izdelek/profesionalni-samolepilni-tesnilni-trak-fillin/,https://vigoshop.si/app/uploads/2023/09/FILLIN_FINAL-324x324.jpg,Profesionalni samolepilni tesnilni trak FILLIN
24,Rezalnik in sekljalnik zelenjave + pripomočki 7v1 SORTEX,19.99,https://vigoshop.si/izdelek/rezalnik-in-sekljalnik-zelenjave-pripomocki-7v1-sortex/,https://vigoshop.si/app/uploads/2020/02/SORTEX_GALLERY_IMG1-324x324.jpg,Rezalnik in sekljalnik zelenjave + pripomočki 7v1 SORTEX
25,Ročni parni likalnik STEAMY,21.99,https://vigoshop.si/izdelek/rocni-parni-likalnik-steamy-kopija/,https://vigoshop.si/app/themes/vigoshop-child-theme/assets/img/placeholder.png,Ročni parni likalnik STEAMY
26,Otroški komplet za gradnjo trdnjave FORTKID,17.99,https://vigoshop.si/izdelek/otroski-komplet-za-gradnjo-trdnjave-fortkid/,https://vigoshop.si/app/uploads/2021/12/FORTKID_10.12.21_UROS_IMAGE_SQUARE_V1-324x324.jpg,Otroški komplet za gradnjo trdnjave FORTKID
27,Komplet za popravilo in obnovo usnja | LEATHERPATCH,17.99,https://vigoshop.si/izdelek/komplet-za-popravilo-in-obnovo-usnja-leatherpatch/,https://vigoshop.si/app/uploads/2022/10/Patchit-Leather-Repair-And-Restoration-Kit-Gallery-Img2-min-3-324x324.jpg,Komplet za popravilo in obnovo usnja | LEATHERPATCH
28,Set 7 vakuumskih vrečk | VACKBAGS,19.99,https://vigoshop.si/izdelek/pack-of-7-vacuum-bags-vackbags-2/,https://vigoshop.si/app/uploads/2023/11/VACKBAGS-Feature-Photo-1-324x324.jpg,Set 7 vakuumskih vrečk | VACKBAGS
29,Avtomatski oblikovalec za krep kodre CRIMMASTER,23.99,https://vigoshop.si/izdelek/avtomatski-oblikovalec-za-krep-kodre-crimmaster/,https://vigoshop.si/app/uploads/2020/12/Untitled-1-1-324x324.jpg,Avtomatski oblikovalec za krep kodre CRIMMASTER
30,Brisalec prahu s teleskopskim ročajem ARTICLEAN,19.99,https://vigoshop.si/izdelek/brisalec-prahu-s-teleskopskim-rocajem-articlean/,https://vigoshop.si/app/uploads/2020/02/ARTICLEAN_GALLERY_IMG1-324x324.jpg,Brisalec prahu s teleskopskim ročajem ARTICLEAN
31,Valjček za rezanje testa ROLLERBLADE ( 2 kosa ),20.99,https://vigoshop.si/izdelek/valjcek-za-rezanje-testa-rollerblade/,https://vigoshop.si/app/uploads/2020/10/ROLLERBLADE-324x324.jpg,Valjček za rezanje testa ROLLERBLADE ( 2 kosa )
32,Kompresijske ženske hlačke za oblikovanje postave CROSSHAPES,19.99,https://vigoshop.si/izdelek/kompresijske-zenske-hlacke-za-oblikovanje-postave-crosshapes/,https://vigoshop.si/app/uploads/2022/09/Sexy-Bodysuit-Featured-Img-min-324x324.jpg,Kompresijske ženske hlačke za oblikovanje postave CROSSHAPES
33,Profesionalni spenjač za privezovanje rastlin PLANTBRAND,22.99,https://vigoshop.si/izdelek/profesionalni-spenjac-za-privezovanje-rastlin-plantbrand/,https://vigoshop.si/app/uploads/2020/07/Professional_Plant_Tying_Machine_Featured_Img-324x324.jpg,Profesionalni spenjač za privezovanje rastlin PLANTBRAND
34,Posebno orodje za brušenje motorne žage + brusilnik GRINNEX,24.99,https://vigoshop.si/izdelek/posebno-orodje-za-brusenje-motorne-zage-grinnex/,https://vigoshop.si/app/uploads/2023/10/header-1-324x324.jpg,Posebno orodje za brušenje motorne žage + brusilnik GRINNEX
35,Samolepilna zrcalna folija | FOILBLISS,17.99,https://vigoshop.si/izdelek/self-adhesive-mirror-foil-foilbliss-2/,https://vigoshop.si/app/uploads/2023/05/FOILBLISS_2-324x324.jpg,Samolepilna zrcalna folija | FOILBLISS
36,Solarna LED svetilka s senzorjem | SENSLED,18.99,https://vigoshop.si/izdelek/solar-led-light-with-sensor-sensled/,https://vigoshop.si/app/uploads/2023/05/SENSLED_Image_1-324x324.jpg,Solarna LED svetilka s senzorjem | SENSLED
37,EMS masažni aparat | FOOTPAD,19.99,https://vigoshop.si/izdelek/ems-masazni-aparat-footpad/,https://vigoshop.si/app/uploads/2022/12/FOOTPAD_1-324x324.jpg,EMS masažni aparat | FOOTPAD
38,Magnetna mreža proti komarjem | INSECTPROTECT,17.99,https://vigoshop.si/izdelek/magnetic-mosquito-door-net-insectprotect-2/,https://vigoshop.si/app/uploads/2023/04/INSECTPROTECT_Feature-Photo-324x324.jpg,Magnetna mreža proti komarjem | INSECTPROTECT
39,Pas za oblikovanje postave | SHAPEUP,19.99,https://vigoshop.si/izdelek/pas-za-oblikovanje-postave-shapeup/,https://vigoshop.si/app/uploads/2021/12/SHAPEUP_IMAGE_WHITE_V1.jpg,Pas za oblikovanje postave | SHAPEUP
40,Prenosna varnostna kamera v obliki žarnice BULBCAM,21.99,https://vigoshop.si/izdelek/prenosna-varnostna-kamera-v-obliki-zarnice-bulbcam/,https://vigoshop.si/app/uploads/2023/08/BulbCamera-Featured-Img-min-324x324.jpg,Prenosna varnostna kamera v obliki žarnice BULBCAM
41,Nevidne nalepke za dvig prsi LIFTUP,16.99,https://vigoshop.si/izdelek/nevidne-nalepke-za-dvig-prsi-liftup/,https://vigoshop.si/app/uploads/2023/01/LIFTUP-324x324.jpg,Nevidne nalepke za dvig prsi LIFTUP
42,16 x Silikonski nastavki za zaščito pohištva LEGGIES,16.99,https://vigoshop.si/izdelek/silikonski-nastavki-za-zascito-pohistva-leggies/,https://vigoshop.si/app/uploads/2023/09/LEGGIES-16-piece-set-324x324.jpg,16 x Silikonski nastavki za zaščito pohištva LEGGIES
43,Set dveh ortopedskih posod za mačke | PURRPOT,23.99,https://vigoshop.si/izdelek/set-dveh-ortopedskih-posod-za-macke-purrpot/,https://vigoshop.si/app/uploads/2021/01/Orthopedic_Anti-Vomiting_Cat_Feeder_Featured_Img-min-324x324.jpg,Set dveh ortopedskih posod za mačke | PURRPOT
44,Univerzalni senčniki za stranska avtomobilska okna SIDESCREEN,26.99,https://vigoshop.si/izdelek/univerzalni-sencniki-za-stranska-avtomobilska-okna-sidescreen/,https://vigoshop.si/app/uploads/2021/06/Universal_Car_Window_Screens_Featured_Img-min-324x324.jpg,Univerzalni senčniki za stranska avtomobilska okna SIDESCREEN
45,Avto-dinozaver z LED osvetlitvijo DYNOCAR,19.99,https://vigoshop.si/izdelek/avto-dinozaver-z-led-osvetlitvijo-dynocar/,https://vigoshop.si/app/uploads/2020/08/Powerful_Pool_Vacuum_Cleaner_Gallery_Img4-2-1-324x324.jpg,Avto-dinozaver z LED osvetlitvijo DYNOCAR
46,Izredno tih strižnik za domače živali GULAMACHINE,20.99,https://vigoshop.si/izdelek/izredno-tih-striznik-za-domace-zivali-gulamachine/,https://vigoshop.si/app/uploads/2020/06/PET_HAIR_CLIPPER_FEATURED_IMG-324x324.jpg,Izredno tih strižnik za domače živali GULAMACHINE
47,Tekočina za čiščenje žarometov | POLISHLY,16.99,https://vigoshop.si/izdelek/car-headlight-repair-polish-fluid-polishly-2/,https://vigoshop.si/app/uploads/2023/03/POLISHLY-FEATURED-IMG-min-1-324x324.jpg,Tekočina za čiščenje žarometov | POLISHLY
48,Žepna zložljiva potovalna torba | BAGPLUS,18.99,https://vigoshop.si/izdelek/zepna-zlozljiva-potovalna-torba-bagplus/,https://vigoshop.si/app/uploads/2023/11/563251fc34da_BAGPLUS-FEATURED-IMG-3-324x324.jpg,Žepna zložljiva potovalna torba | BAGPLUS
49,Komplet za čiščenje odtočne cevi | FRIDGEFLOSS,16.99,https://vigoshop.si/izdelek/fridge-drain-hose-cleaning-kit-fridgefloss-2/,https://vigoshop.si/app/uploads/2023/02/FRIDGEFLOSS-FEATURED-IMG-min-1-324x324.jpg,Komplet za čiščenje odtočne cevi | FRIDGEFLOSS
50,Masažni oblikovalec prsi BREASTIUP,24.99,https://vigoshop.si/izdelek/masazni-oblikovalec-prsi-breastiup/,https://vigoshop.si/app/uploads/2021/12/BREASTIUP_10.12.21_UROS_IMAGE_SQUARE_V1-324x324.jpg,Masažni oblikovalec prsi BREASTIUP
51,Duplikator daljinskih upravljalnikov 4v1 | REMOTEX,19.99,https://vigoshop.si/izdelek/4-in-1-remote-control-duplicator-2/,https://vigoshop.si/app/uploads/2023/06/Remote-Control-Duplicator-Gallery-Img4-min-1-324x324.jpg,Duplikator daljinskih upravljalnikov 4v1 | REMOTEX
52,2v1 naprava za pripravo cmokov | DUMPLINGER,17.99,https://vigoshop.si/izdelek/2-in-1-dumpling-maker-dumplinger-2/,https://vigoshop.si/app/uploads/2023/02/DUMPLINGER-_-Feature-picture_1-324x324.jpg,2v1 naprava za pripravo cmokov | DUMPLINGER
53,Magnetna zapestna ura z dizajnom zvezdnatega neba STARRY TIME,19.99,https://vigoshop.si/izdelek/magnetna-zapestna-ura-z-dizajnom-zvezdnatega-neba-starry-time/,https://vigoshop.si/app/uploads/2019/10/starry-time-6-3-324x324.jpg,Magnetna zapestna ura z dizajnom zvezdnatega neba STARRY TIME
54,Zložljiv senčnik za avto z zaščito pred žarki UV GLADESHADE,22.99,https://vigoshop.si/izdelek/zlozljiv-sencnik-za-avto-z-zascito-pred-zarki-uv-gladeshade/,https://vigoshop.si/app/uploads/2021/12/GLADESHADE_IMAGE_WHITE_V1.jpg,Zložljiv senčnik za avto z zaščito pred žarki UV GLADESHADE
55,Komplet drsnikov za pohištvo | LIFTROLLERS,18.99,https://vigoshop.si/izdelek/set-of-furniture-sliders-liftrollers-2/,https://vigoshop.si/app/uploads/2023/09/LIFTROLLERS_FINAL-324x324.jpg,Komplet drsnikov za pohištvo | LIFTROLLERS
56,Brezžična Bluetooth palica za selfije 6v1 | SELFIEPRO,16.99,https://vigoshop.si/izdelek/brezzicna-bluetooth-palica-za-selfije-6v1-selfiepro/,https://vigoshop.si/app/uploads/2022/03/Wireless-Bluetooth-Selfie-Stick-Featured-Img-min-324x324.jpg,Brezžična Bluetooth palica za selfije 6v1 | SELFIEPRO
57,Mehka in udobna posteljnina (prevleka za vzmetnico + 2x prevleka za vzglavnik) VELVETLUX,28.99,https://vigoshop.si/izdelek/mehka-in-udobna-posteljnina-prevleka-za-vzmetnico-2x-prevleka-za-vzglavnik-velvetlux/,https://vigoshop.si/app/uploads/2022/12/Soft-Comfy-Set-Gallery-Img1-min-324x324.jpg,Mehka in udobna posteljnina (prevleka za vzmetnico + 2x prevleka za vzglavnik) VELVETLUX
58,Mini dron s HD kamero | SKYPRO,25.99,https://vigoshop.si/izdelek/mini-dron-s-hd-kamero-skypro/,https://vigoshop.si/app/uploads/2022/12/Mini-Drone-HD-Camera-Gallery-Img1-min-1-324x324.jpg,Mini dron s HD kamero | SKYPRO
59,Zložljiva vrtna ograja GREENFENCE,24.99,https://vigoshop.si/izdelek/zlozljiva-vrtna-ograja-greenfence/,https://vigoshop.si/app/uploads/2022/03/GARDEN_FENCE-324x324.jpg,Zložljiva vrtna ograja GREENFENCE
60,Ogrlica 2v1 CLOVETO,25.99,https://vigoshop.si/izdelek/ogrlica-2v1-cloveto/,https://vigoshop.si/app/uploads/2020/06/cloveto-324x324.jpg,Ogrlica 2v1 CLOVETO
61,Lepilna folija za avtomobile | CARTAPE,17.99,https://vigoshop.si/izdelek/protective-adhesive-film-for-cars-cartape-2/,https://vigoshop.si/app/uploads/2023/09/CARTAPE-FEATURED-IMG-min-1-324x324.jpg,Lepilna folija za avtomobile | CARTAPE
62,Inovativna krtača za ljubljenčke | PETBRUSHY,17.99,https://vigoshop.si/izdelek/inovativna-krtaca-za-ljubljencke-petbrushy/,https://vigoshop.si/app/uploads/2022/12/s-l400-2-1-324x324.jpg,Inovativna krtača za ljubljenčke | PETBRUSHY
63,Brusilnik za rezila kosilnic | SHARPY,17.99,https://vigoshop.si/izdelek/grinder-for-lawnmower-blades-sharpy/,https://vigoshop.si/app/uploads/2023/06/SHARPY-FEATURED-IMG-min-324x324.jpg,Brusilnik za rezila kosilnic | SHARPY
64,Vrtljiv nastavek za pipo 1080° | DUOTAP,17.99,https://vigoshop.si/izdelek/1080-rotating-faucet-attachment-duotap-2/,https://vigoshop.si/app/uploads/2023/03/DUOTAP-FEATURED-IMG-min-1-324x324.jpg,Vrtljiv nastavek za pipo 1080° | DUOTAP
65,4-delni komplet protihrupnih in protizdrsnih podstavkov za pralni stroj | SLIPSTOP,19.99,https://vigoshop.si/izdelek/4-delni-komplet-protihrupnih-in-protizdrsnih-podstavkov-za-pralni-stroj-slipstop/,https://vigoshop.si/app/uploads/2023/09/SLIPSTOP-4-piece-set-324x324.jpg,4-delni komplet protihrupnih in protizdrsnih podstavkov za pralni stroj | SLIPSTOP
66,Rezalnik zelenjave | SLICEIEST,27.99,https://vigoshop.si/izdelek/rezalnik-zelenjave-sliceiest/,https://vigoshop.si/app/uploads/2021/12/SLICEIEST_10.12.21_UROS_IMAGE_SQUARE_V1-324x324.jpg,Rezalnik zelenjave | SLICEIEST
67,Keramični likalnik za lase TOURMALINE,22.99,https://vigoshop.si/izdelek/keramicni-likalnik-za-lase-tourmaline/,https://vigoshop.si/app/uploads/2022/04/header-1-324x324.jpg,Keramični likalnik za lase TOURMALINE
68,Mini električni brivnik | LILTRIM,17.99,https://vigoshop.si/izdelek/mini-electric-razor-liltrim-2/,https://vigoshop.si/app/uploads/2023/04/Mini-Electric-Razor-Featured-Img-min-324x324.jpg,Mini električni brivnik | LILTRIM
69,Pojoči Unicorn Roxy,24.99,https://vigoshop.si/izdelek/pojoci-unicorn-roxy/,https://vigoshop.si/app/uploads/2018/10/Pojoči-unicorn-Roxy-8-324x324.jpg,Pojoči Unicorn Roxy
70,Škatla za shranjevanje oblačil | STACKBOX,19.99,https://vigoshop.si/izdelek/fabric-storage-boxes-for-clothes-sarees-bed-sheets-blanket-66-litre-stackbox-2/,https://vigoshop.si/app/uploads/2023/02/Fabric-Storage-Boxes-Featured-Img-min-324x324.jpg,Škatla za shranjevanje oblačil | STACKBOX
71,Igrača za spuščanje letal PLANELAUNCH,26.99,https://vigoshop.si/izdelek/igraca-za-spuscanje-letal-planelaunch/,https://vigoshop.si/app/uploads/2021/12/Catapult_Plane_Gallery_Img3-min-324x324.jpg,Igrača za spuščanje letal PLANELAUNCH
72,Električna naprava za odstranjevanje naglavnih uši TREVY,21.99,https://vigoshop.si/izdelek/elektricna-naprava-za-odstranjevanje-naglavnih-usi-trevy/,https://vigoshop.si/app/uploads/2021/12/TREVY_IMAGE_WHITE_V1.jpg,Električna naprava za odstranjevanje naglavnih uši TREVY
73,Majica za oblikovanje postave ABSFIT (2 kosa),18.99,https://vigoshop.si/izdelek/six-pack-abs-t-shirt-absfit-2/,https://vigoshop.si/app/uploads/2023/02/SIX-PACK-ABS-T-SHIRT-FEATURED-IMG-min-324x324.jpg,Majica za oblikovanje postave ABSFIT (2 kosa)
74,Naprava za varjenje | BONDMASTER,23.99,https://vigoshop.si/izdelek/crack-repair-welding-machine-set-bondmaster-2/,https://vigoshop.si/app/uploads/2023/11/BOND8-324x324.jpg,Naprava za varjenje | BONDMASTER
75,Pripomoček za odstranjevanje plevela SPINOUT,27.99,https://vigoshop.si/izdelek/pripomocek-za-odstranjevanje-plevela-spinout/,https://vigoshop.si/app/uploads/2021/05/Easy_Root_Gallery_Img1-min-324x324.jpg,Pripomoček za odstranjevanje plevela SPINOUT
76,Prenosni avtomobilski sesalnik PISTOOVER 3 v 1,19.99,https://vigoshop.si/izdelek/prenosni-avtomobilski-sesalnik-pistoover-3-v-1/,https://vigoshop.si/app/uploads/2021/05/Portable_Mini_Vacuum_Cleaner_Featured_Img-min-324x324.jpg,Prenosni avtomobilski sesalnik PISTOOVER 3 v 1
77,3-delni komplet lupilnikov TRIOPEEL,18.99,https://vigoshop.si/izdelek/3-delni-komplet-lupilnikov-triopeel/,https://vigoshop.si/app/uploads/2023/11/3peeler-6-1-324x324.jpg,3-delni komplet lupilnikov TRIOPEEL
78,Božično drevo iz filca z okraski FELTPINETREE,17.99,https://vigoshop.si/izdelek/bozicno-drevo-iz-filca-z-okraski-feltpinetree/,https://vigoshop.si/app/uploads/2020/10/Spare_Ornaments_Bundle_Featured_Img-min-1-324x324.jpg,Božično drevo iz filca z okraski FELTPINETREE
79,Svetleče krilo z LED lučkami | PRINCESS,14.99,https://vigoshop.si/izdelek/svetlece-krilo-z-led-luckami-princess/,https://vigoshop.si/app/uploads/2020/10/The4Projects_TUTU_Animated_2048x-1-324x324.gif,Svetleče krilo z LED lučkami | PRINCESS
80,Otroški plišasti vzglavnik in spalna vreča PILLOSACK,11.99,https://vigoshop.si/izdelek/otroski-plisasti-vzglavnik-in-spalna-vreca-pillosack/,https://vigoshop.si/app/uploads/2022/03/Play_PillowSleep_Sack_Surprise_Featured_Img-4-324x324.jpg,Otroški plišasti vzglavnik in spalna vreča PILLOSACK
81,Orodje za oblikovanje lesa (2 kos) | GRINDWHEEL,18.99,https://vigoshop.si/izdelek/tool-for-shaping-wood-grindwheel/,https://vigoshop.si/app/uploads/2023/05/GRINDWHEEL_1-324x324.jpg,Orodje za oblikovanje lesa (2 kos) | GRINDWHEEL
82,Rezalni nastavek za kovine za električni vrtalnik | METALSLICER,21.99,https://vigoshop.si/izdelek/metal-cutting-attachment-for-electric-drill-metalslicer/,https://vigoshop.si/app/uploads/2023/07/METALSLICER-1-324x324.jpg,Rezalni nastavek za kovine za električni vrtalnik | METALSLICER
83,Pajkice z visokim pasom NEROFIT,23.99,https://vigoshop.si/izdelek/pajkice-z-visokim-pasom-nerofit/,https://vigoshop.si/app/uploads/2022/03/Fit-Tights-Featured-Img-min-1-324x324.jpg,Pajkice z visokim pasom NEROFIT
84,Večnamenska metla | BROOMY,19.99,https://vigoshop.si/izdelek/vecnamenska-metla-broomy/,https://vigoshop.si/app/uploads/2022/11/Multi-Purpose-Broom-Pro-Brush-Gallery-Img1-min-324x324.jpg,Večnamenska metla | BROOMY
85,Pulover in odeja v enem | HOODZIE,19.99,https://vigoshop.si/izdelek/pulover-in-odeja-v-enem-hoodzie/,https://vigoshop.si/app/uploads/2022/10/HOODZIE1-324x324.jpg,Pulover in odeja v enem | HOODZIE
86,Samolepilna nalepka za zaščito sten in pohištva | FOILPROTECT,17.99,https://vigoshop.si/izdelek/self-adhesive-wall-and-furniture-protection-sticker-foilprotect-2/,https://vigoshop.si/app/uploads/2023/04/FOILPROTECT-Feature-Photo-324x324.jpg,Samolepilna nalepka za zaščito sten in pohištva | FOILPROTECT
87,LED lučke z motivom padajočega snega LIGHTFALL,20.99,https://vigoshop.si/izdelek/led-lucke-z-motivom-padajocega-snega-lightfall/,https://vigoshop.si/app/uploads/2023/01/LIGHTFALL-324x324.jpg,LED lučke z motivom padajočega snega LIGHTFALL
88,Profesionalni set za pritrjevanje gumbov | SNAPSTER,20.99,https://vigoshop.si/izdelek/metal-snap-buttons-pliers-set-snapster-2/,https://vigoshop.si/app/uploads/2023/03/SNAPSTER-FEATURED-IMG-min-1-324x324.jpg,Profesionalni set za pritrjevanje gumbov | SNAPSTER
89,Profesionalni komplet za barvanje | PRIMEPAINTER,18.99,https://vigoshop.si/izdelek/professional-painting-kit-primepainter/,https://vigoshop.si/app/uploads/2023/04/PRIMEPAINTER-FEATURED-IMG-min-324x324.jpg,Profesionalni komplet za barvanje | PRIMEPAINTER
90,Pametni brezžični kodralnik CURLCODE,29.99,https://vigoshop.si/izdelek/pametni-brezzicni-kodralnik-curlcode/,https://vigoshop.si/app/uploads/2021/12/CURLCODE_10.12.21_UROS_IMAGE_SQUARE_V1-324x324.jpg,Pametni brezžični kodralnik CURLCODE
91,Komplet 4 ščetk za ustno higieno otrok RUBBIGUM,19.99,https://vigoshop.si/izdelek/inovativna-otroska-zobna-scetka-rubbigum/,https://vigoshop.si/app/uploads/2022/03/RUBBIGUM-IMG6-min-1-324x324.jpg,Komplet 4 ščetk za ustno higieno otrok RUBBIGUM
92,Velika škatla za shranjevanje oblačil | CLOTHBOX,19.99,https://vigoshop.si/izdelek/velika-skatla-za-shranjevanje-oblacil-clothbox/,https://vigoshop.si/app/uploads/2021/03/Clothes_Container_Featured_Img-min-324x324.jpg,Velika škatla za shranjevanje oblačil | CLOTHBOX
93,Brezžični Bluetooth mikrofon za karaoke VOCALIX,18.99,https://vigoshop.si/izdelek/brezzicni-bluetooth-mikrofon-za-karaoke-vocalix/,https://vigoshop.si/app/uploads/2021/12/VOCALIX_10.12.21_UROS_IMAGE_SQUARE_V1-Custom.jpg,Brezžični Bluetooth mikrofon za karaoke VOCALIX
94,Paket 4 zvezkov za učenje pisanja | COPYLINE®,17.99,https://vigoshop.si/izdelek/zvezek-za-ucenje-pisanja-copyline/,https://vigoshop.si/app/uploads/2022/08/Magic_Practice_Copybook_Featured_Img-min-324x324.jpg,Paket 4 zvezkov za učenje pisanja | COPYLINE®
95,Avtomobilski pihalnik s hitrim segrevanjem | TURBOCUP,18.99,https://vigoshop.si/izdelek/fast-heating-cup-shape-car-warm-air-blower-turbocup/,https://vigoshop.si/app/uploads/2023/10/Fast-Heating-Cup-Shape-Car-Warm-Air-Blower-Featured-Img-min-1-324x324.jpg,Avtomobilski pihalnik s hitrim segrevanjem | TURBOCUP
